Crash_Ref_Number,Crash_Severity,Crash_Month,Crash_Month_Num,Crash_Day_Of_Week,Crash_Day_Num,Crash_Hour,Crash_Nature,Crash_Type,Crash_Latitude,Crash_Longitude,Loc_Post_Code,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Count_Unit_Car,DCA_Code,DCA_Description
337663,Minor injury,December,12,Saturday,6,10,Rear-end,Multi-Vehicle,-27.62818847,153.236749,4165,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Dip,2,04,Rear-end
337686,Hospitalisation,November,11,Thursday,4,16,Sideswipe,Multi-Vehicle,-27.33411395,153.0511837,4018,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,2,15,Off Carriageway on Straight
337700,Hospitalisation,December,12,Sunday,7,16,Hit object,Single Vehicle,-27.32937344,153.0118881,4036,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Curved - view open,Level,1,19,Off Carriageway on Curve Hit Object
337708,Hospitalisation,December,12,Monday,1,8,Rear-end,Multi-Vehicle,-27.44013945,153.031646,4030,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,04,Rear-end
337721,Medical treatment,December,12,Thursday,4,16,Sideswipe,Multi-Vehicle,-27.28205045,153.0650121,4017,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,05,Lane Change
337726,Hospitalisation,December,12,Thursday,4,16,Rear-end,Multi-Vehicle,-27.56262444,152.993725,4106,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
337778,Hospitalisation,September,9,Tuesday,2,17,Rear-end,Multi-Vehicle,-27.49287546,153.209325,4159,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
337797,Hospitalisation,October,10,Tuesday,2,6,Rear-end,Multi-Vehicle,-27.64287119,153.0196609,4115,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,04,Rear-end
337804,Minor injury,December,12,Monday,1,17,Rear-end,Multi-Vehicle,-27.51562945,153.045951,4120,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
337845,Hospitalisation,April,4,Monday,1,9,Rear-end,Multi-Vehicle,-27.53824245,153.118848,4156,80 - 90 km/h,Sealed - Wet,Clear,Daylight,Curved - view open,Grade,2,04,Rear-end
337851,Hospitalisation,April,4,Tuesday,2,7,Angle,Multi-Vehicle,-27.50886446,153.157201,4155,80 - 90 km/h,Sealed - Wet,Clear,Daylight,Straight,Level,1,08,Vehicle Leaving Driveway
337863,Medical treatment,March,3,Tuesday,2,7,Rear-end,Multi-Vehicle,-27.58735945,153.106911,4113,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,3,04,Rear-end
337910,Minor injury,June,6,Monday,1,10,Struck by external load,Other,-27.56629044,152.979934,4075,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,21,Other
338139,Hospitalisation,December,12,Monday,1,11,Angle,Multi-Vehicle,-27.52837346,153.123733,4153,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,05,Lane Change
338145,Minor injury,December,12,Friday,5,16,Rear-end,Multi-Vehicle,-27.51248644,152.957706,4068,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
338166,Medical treatment,December,12,Tuesday,2,15,Angle,Multi-Vehicle,-27.58434247,153.223236,4157,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,01,Intersection: Adjacent Approach
338198,Minor injury,November,11,Wednesday,3,7,Overturned,Single Vehicle,-27.57645947,153.257132,4164,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Crest,5,04,Rear-end
338250,Medical treatment,December,12,Monday,1,0,Hit object,Single Vehicle,-27.40924142,152.8003291,4520,80 - 90 km/h,Sealed - Wet,Clear,Darkness - Not lighted,Curved - view obscured,Dip,1,19,Off Carriageway on Curve Hit Object
338270,Medical treatment,April,4,Wednesday,3,16,Rear-end,Multi-Vehicle,-27.64902444,153.0546973,4116,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,2,04,Rear-end
338278,Minor injury,April,4,Tuesday,2,16,Rear-end,Multi-Vehicle,-27.56532344,152.985213,4075,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
338486,Hospitalisation,May,5,Monday,1,19,Angle,Multi-Vehicle,-27.55815646,153.178146,4156,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,2,06,Parallel Lanes Turning
338514,Medical treatment,March,3,Thursday,4,16,Rear-end,Multi-Vehicle,-27.59326644,152.997091,4110,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,4,04,Rear-end
338554,Medical treatment,October,10,Saturday,6,17,Rear-end,Multi-Vehicle,-27.50341545,153.039289,4120,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
338560,Medical treatment,May,5,Friday,5,9,Rear-end,Multi-Vehicle,-27.50521146,153.177226,4154,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
338584,Medical treatment,March,3,Sunday,7,20,Rear-end,Multi-Vehicle,-27.48796645,153.032704,4102,80 - 90 km/h,Sealed - Wet,Clear,Darkness - Lighted,Straight,Level,2,04,Rear-end
338640,Hospitalisation,December,12,Wednesday,3,19,Head-on,Multi-Vehicle,-27.59405644,153.002826,4110,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,2,02,Head-on
339149,Hospitalisation,November,11,Monday,1,14,Sideswipe,Multi-Vehicle,-27.35428945,153.07963,4034,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,2,08,Vehicle Leaving Driveway
339154,Hospitalisation,November,11,Friday,5,8,Rear-end,Multi-Vehicle,-27.53659645,153.058529,4121,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,4,04,Rear-end
339164,Hospitalisation,November,11,Wednesday,3,7,Sideswipe,Multi-Vehicle,-27.43698545,153.096222,4009,80 - 90 km/h,Sealed - Wet,Clear,Daylight,Straight,Level,2,05,Lane Change
339174,Hospitalisation,November,11,Thursday,4,12,Sideswipe,Multi-Vehicle,-27.64212745,153.061195,4116,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,3,05,Lane Change
339183,Medical treatment,November,11,Friday,5,7,Hit object,Single Vehicle,-27.55218144,152.941085,4074,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Straight,Grade,2,05,Lane Change
339212,Medical treatment,January,1,Monday,1,8,Sideswipe,Multi-Vehicle,-27.53718846,153.119829,4156,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,05,Lane Change
357229,Medical treatment,January,1,Thursday,4,7,Rear-end,Multi-Vehicle,-27.37066844,152.9801191,4035,80 - 90 km/h,Sealed - Wet,Raining,Daylight,Straight,Grade,2,04,Rear-end
357280,Medical treatment,April,4,Wednesday,3,14,Rear-end,Multi-Vehicle,-27.54396344,152.942824,4073,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,2,04,Rear-end
357371,Medical treatment,September,9,Thursday,4,21,Overturned,Single Vehicle,-27.32879444,153.0121481,4036,100 - 110 km/h,Sealed - Wet,Raining,Darkness - Not lighted,Straight,Level,1,17,Out of Control on Straight
357384,Hospitalisation,September,9,Wednesday,3,6,Rear-end,Multi-Vehicle,-27.50885945,153.038708,4120,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,5,04,Rear-end
357387,Hospitalisation,September,9,Friday,5,23,Hit object,Single Vehicle,-27.59807044,152.921054,4076,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,1,16,Off Carriageway on Straight Hit Object
357399,Hospitalisation,April,4,Friday,5,14,Hit object,Single Vehicle,-27.52704144,152.947098,4069,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,16,Off Carriageway on Straight Hit Object
357456,Minor injury,October,10,Tuesday,2,6,Rear-end,Multi-Vehicle,-27.30472344,153.0237191,4036,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
357499,Minor injury,July,7,Thursday,4,9,Rear-end,Multi-Vehicle,-27.29512845,153.0182637,4036,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,04,Rear-end
357533,Medical treatment,December,12,Monday,1,19,Hit object,Single Vehicle,-27.36940643,152.8573251,4520,80 - 90 km/h,Sealed - Wet,Raining,Darkness - Not lighted,Straight,Level,1,16,Off Carriageway on Straight Hit Object
357548,Medical treatment,December,12,Monday,1,17,Rear-end,Multi-Vehicle,-27.49980844,152.963086,4068,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
373007,Medical treatment,September,9,Friday,5,5,Rear-end,Multi-Vehicle,-27.57349344,152.955292,4076,100 - 110 km/h,Sealed - Wet,Clear,Darkness - Lighted,Straight,Level,1,04,Rear-end
373031,Medical treatment,March,3,Saturday,6,12,Rear-end,Multi-Vehicle,-27.42793245,153.079902,4009,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,1,04,Rear-end
373050,Hospitalisation,March,3,Wednesday,3,16,Rear-end,Multi-Vehicle,-27.33390944,153.0108271,4036,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,4,04,Rear-end
373052,Medical treatment,February,2,Wednesday,3,7,Rear-end,Multi-Vehicle,-27.60628945,153.084049,4112,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,04,Rear-end
373248,Hospitalisation,November,11,Saturday,6,10,Rear-end,Multi-Vehicle,-27.30511244,153.0245931,4036,100 - 110 km/h,Sealed - Wet,Clear,Daylight,Straight,Level,3,04,Rear-end
373406,Hospitalisation,July,7,Monday,1,11,Rear-end,Multi-Vehicle,-27.58176544,152.934347,4076,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
373439,Medical treatment,August,8,Thursday,4,12,Rear-end,Multi-Vehicle,-27.59415944,153.003588,4110,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
373441,Hospitalisation,August,8,Thursday,4,8,Rear-end,Multi-Vehicle,-27.59169247,153.218453,4165,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,1,04,Rear-end
373450,Medical treatment,August,8,Friday,5,9,Sideswipe,Multi-Vehicle,-27.60135244,152.920277,4076,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,05,Lane Change
373479,Hospitalisation,September,9,Saturday,6,18,Rear-end,Multi-Vehicle,-27.49635745,153.038017,4102,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view open,Level,3,05,Lane Change
373509,Medical treatment,September,9,Tuesday,2,7,Rear-end,Multi-Vehicle,-27.56836945,153.086977,4109,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,5,04,Rear-end
373537,Hospitalisation,May,5,Friday,5,3,Hit object,Single Vehicle,-27.47678745,153.026223,4000,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Grade,1,16,Off Carriageway on Straight Hit Object
373539,Hospitalisation,May,5,Friday,5,5,Hit object,Single Vehicle,-27.62313147,153.236535,4165,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view open,Grade,1,19,Off Carriageway on Curve Hit Object
382507,Hospitalisation,November,11,Tuesday,2,14,Rear-end,Multi-Vehicle,-27.30264944,153.0178311,4036,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,3,04,Rear-end
382528,Medical treatment,September,9,Friday,5,3,Sideswipe,Multi-Vehicle,-27.63454961,152.969754,4078,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,1,05,Lane Change
385334,Medical treatment,February,2,Monday,1,14,Angle,Multi-Vehicle,-27.49933346,153.125871,4153,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,1,05,Lane Change
385359,Medical treatment,August,8,Saturday,6,17,Hit object,Single Vehicle,-27.56488247,153.229796,4157,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view open,Level,1,19,Off Carriageway on Curve Hit Object
385376,Hospitalisation,June,6,Thursday,4,14,Rear-end,Multi-Vehicle,-27.42390145,153.033406,4030,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,2,04,Rear-end
385388,Minor injury,June,6,Thursday,4,15,Rear-end,Multi-Vehicle,-27.50872145,153.038605,4120,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view open,Level,3,04,Rear-end
388515,Hospitalisation,October,10,Thursday,4,13,Sideswipe,Multi-Vehicle,-27.46619945,153.114869,4173,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,05,Lane Change
388530,Medical treatment,October,10,Friday,5,6,Rear-end,Multi-Vehicle,-27.45534145,153.107115,4172,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,2,04,Rear-end
389650,Hospitalisation,March,3,Saturday,6,14,Rear-end,Multi-Vehicle,-27.27797745,153.0687861,4503,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,3,04,Rear-end
389905,Medical treatment,January,1,Friday,5,9,Rear-end,Multi-Vehicle,-27.64806145,153.041888,4116,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,2,04,Rear-end
390635,Hospitalisation,May,5,Saturday,6,0,Rear-end,Multi-Vehicle,-27.49265945,153.035219,4102,80 - 90 km/h,Sealed - Wet,Raining,Darkness - Lighted,Curved - view open,Level,3,04,Rear-end
390655,Fatal,June,6,Tuesday,2,8,Rear-end,Multi-Vehicle,-27.33996944,153.0106631,4034,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
390806,Medical treatment,August,8,Tuesday,2,14,Rear-end,Multi-Vehicle,-27.56794445,153.08679,4109,80 - 90 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,2,04,Rear-end
391366,Medical treatment,May,5,Thursday,4,5,Rear-end,Multi-Vehicle,-27.32927845,153.051187,4017,80 - 90 km/h,Sealed - Wet,Raining,Dawn/Dusk,Straight,Grade,5,04,Rear-end
391837,Medical treatment,June,6,Saturday,6,17,Rear-end,Multi-Vehicle,-27.50737945,153.03877,4120,80 - 90 km/h,Sealed - Wet,Clear,Darkness - Lighted,Straight,Level,2,04,Rear-end
391842,Hospitalisation,May,5,Tuesday,2,14,Head-on,Multi-Vehicle,-27.51745947,153.255269,4160,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,2,02,Head-on
391863,Hospitalisation,June,6,Tuesday,2,15,Rear-end,Multi-Vehicle,-27.58351389,153.1047388,4123,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,04,Rear-end
391867,Medical treatment,June,6,Wednesday,3,6,Rear-end,Multi-Vehicle,-27.49558345,153.037372,4102,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
391868,Medical treatment,June,6,Thursday,4,6,Rear-end,Multi-Vehicle,-27.64256545,153.016281,4115,100 - 110 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,2,04,Rear-end
391878,Hospitalisation,August,8,Monday,1,16,Angle,Multi-Vehicle,-27.54259144,153.012373,4106,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,1,05,Lane Change
391892,Hospitalisation,July,7,Monday,1,15,Rear-end,Multi-Vehicle,-27.59197145,153.110134,4123,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
392376,Minor injury,October,10,Friday,5,14,Rear-end,Multi-Vehicle,-27.31134444,153.0367261,4017,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,2,04,Rear-end
392773,Medical treatment,June,6,Wednesday,3,14,Rear-end,Multi-Vehicle,-27.31282945,153.0411411,4017,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,1,04,Rear-end
392794,Medical treatment,July,7,Tuesday,2,5,Sideswipe,Multi-Vehicle,-27.61134744,152.943262,4078,100 - 110 km/h,Sealed - Wet,Raining,Darkness - Lighted,Straight,Level,1,05,Lane Change
393630,Minor injury,August,8,Monday,1,5,Rear-end,Multi-Vehicle,-27.41019145,153.094239,4008,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
393640,Medical treatment,August,8,Monday,1,6,Fall from vehicle,Single Vehicle,-27.30363844,153.0211551,4036,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,1,21,Other
394913,Hospitalisation,September,9,Thursday,4,16,Overturned,Single Vehicle,-27.35700444,152.9477171,4055,80 - 90 km/h,Sealed - Wet,Raining,Darkness - Lighted,Curved - view obscured,Level,1,21,Other
394931,Medical treatment,September,9,Monday,1,14,Rear-end,Multi-Vehicle,-27.53910644,152.946168,4073,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,04,Rear-end
395052,Hospitalisation,May,5,Thursday,4,8,Angle,Multi-Vehicle,-27.59295444,152.993614,4077,80 - 90 km/h,Sealed - Wet,Clear,Daylight,Curved - view open,Level,1,06,Parallel Lanes Turning
395146,Medical treatment,November,11,Thursday,4,18,Rear-end,Multi-Vehicle,-27.49525445,153.03767,4102,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,3,04,Rear-end
395164,Minor injury,December,12,Tuesday,2,14,Rear-end,Multi-Vehicle,-27.31293445,153.0437161,4017,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,2,04,Rear-end
395200,Minor injury,May,5,Friday,5,22,Head-on,Multi-Vehicle,-27.58617971,153.1027392,4113,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,2,02,Head-on
395311,Hospitalisation,May,5,Friday,5,14,Sideswipe,Multi-Vehicle,-27.49225646,153.124397,4153,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,05,Lane Change
395806,Minor injury,September,9,Sunday,7,15,Sideswipe,Multi-Vehicle,-27.55679944,153.009166,4106,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,2,05,Lane Change
395868,Hospitalisation,November,11,Saturday,6,5,Hit object,Single Vehicle,-27.59379945,153.111551,4123,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,16,Off Carriageway on Straight Hit Object
400431,Hospitalisation,May,5,Thursday,4,7,Rear-end,Multi-Vehicle,-27.64765545,153.04937,4116,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,3,04,Rear-end
400614,Medical treatment,December,12,Wednesday,3,6,Sideswipe,Multi-Vehicle,-27.54211245,153.117042,4156,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Straight,Grade,2,05,Lane Change
400636,Medical treatment,July,7,Friday,5,15,Rear-end,Multi-Vehicle,-27.57626893,153.0999098,4113,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,2,04,Rear-end
400638,Medical treatment,July,7,Friday,5,18,Rear-end,Multi-Vehicle,-27.30540244,153.0248081,4036,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,4,04,Rear-end
400647,Medical treatment,July,7,Saturday,6,12,Rear-end,Multi-Vehicle,-27.30737044,153.0280211,4036,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
401228,Hospitalisation,March,3,Monday,1,6,Rear-end,Multi-Vehicle,-27.59036645,153.108771,4113,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
401321,Hospitalisation,February,2,Saturday,6,18,Angle,Multi-Vehicle,-27.46530945,153.11422,4173,100 - 110 km/h,Sealed - Wet,Clear,Dawn/Dusk,Straight,Grade,1,06,Parallel Lanes Turning
402636,Hospitalisation,August,8,Thursday,4,8,Rear-end,Multi-Vehicle,-27.48722146,153.185084,4154,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,3,04,Rear-end
402910,Minor injury,January,1,Monday,1,7,Sideswipe,Multi-Vehicle,-27.58648944,152.947801,4077,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,1,05,Lane Change
403147,Medical treatment,July,7,Sunday,7,20,Rear-end,Multi-Vehicle,-27.64307345,153.01969,4115,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,2,04,Rear-end
403206,Hospitalisation,August,8,Thursday,4,15,Sideswipe,Multi-Vehicle,-27.32897044,153.0121241,4036,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,05,Lane Change
403472,Medical treatment,March,3,Wednesday,3,8,Rear-end,Multi-Vehicle,-27.57289744,152.956877,4076,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,3,04,Rear-end
403579,Hospitalisation,March,3,Thursday,4,1,Hit object,Single Vehicle,-27.64214908,153.0432966,4115,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view open,Level,1,19,Off Carriageway on Curve Hit Object
404137,Hospitalisation,May,5,Wednesday,3,14,Sideswipe,Multi-Vehicle,-27.53691146,153.11975,4156,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,05,Lane Change
404749,Medical treatment,November,11,Friday,5,12,Rear-end,Multi-Vehicle,-27.59114245,153.109275,4113,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
404806,Minor injury,April,4,Monday,1,5,Rear-end,Multi-Vehicle,-27.33738345,153.067794,4034,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,1,04,Rear-end
405233,Minor injury,April,4,Monday,1,12,Angle,Multi-Vehicle,-27.56224944,152.993634,4106,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,05,Lane Change
405689,Minor injury,May,5,Sunday,7,8,Rear-end,Multi-Vehicle,-27.51374446,153.125874,4153,80 - 90 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,1,04,Rear-end
405882,Hospitalisation,August,8,Monday,1,16,Rear-end,Multi-Vehicle,-27.51464945,153.043299,4120,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,6,04,Rear-end
406005,Hospitalisation,June,6,Wednesday,3,3,Hit object,Single Vehicle,-27.29687745,153.0479941,4017,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Crest,1,19,Off Carriageway on Curve Hit Object
406044,Medical treatment,July,7,Wednesday,3,8,Angle,Multi-Vehicle,-27.46268245,153.111548,4172,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,05,Lane Change
406050,Hospitalisation,July,7,Friday,5,11,Rear-end,Multi-Vehicle,-27.54182544,152.944143,4074,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,5,04,Rear-end
406062,Minor injury,July,7,Friday,5,17,Rear-end,Multi-Vehicle,-27.46401245,153.113086,4173,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,3,04,Rear-end
406095,Hospitalisation,February,2,Saturday,6,12,Rear-end,Multi-Vehicle,-27.52314845,153.054193,4121,100 - 110 km/h,Sealed - Wet,Clear,Daylight,Straight,Level,2,04,Rear-end
406427,Hospitalisation,April,4,Wednesday,3,20,Hit object,Single Vehicle,-27.48655446,153.180177,4154,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,1,16,Off Carriageway on Straight Hit Object
406429,Hospitalisation,February,2,Tuesday,2,9,Rear-end,Multi-Vehicle,-27.27367145,153.0720461,4503,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,04,Rear-end
406470,Minor injury,April,4,Thursday,4,15,Rear-end,Multi-Vehicle,-27.50608445,153.03899,4120,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,3,04,Rear-end
406491,Minor injury,April,4,Friday,5,18,Rear-end,Multi-Vehicle,-27.49637745,153.038464,4102,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,2,04,Rear-end
406493,Hospitalisation,December,12,Tuesday,2,13,Angle,Multi-Vehicle,-27.62542347,153.287621,4165,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,03,Opposing Vehicles Turning
406509,Medical treatment,June,6,Wednesday,3,17,Rear-end,Multi-Vehicle,-27.48819745,153.122075,4153,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,4,04,Rear-end
406644,Medical treatment,June,6,Sunday,7,16,Rear-end,Multi-Vehicle,-27.52379444,152.947701,4069,80 - 90 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,2,04,Rear-end
