Crash_Ref_Number,Crash_Severity,Crash_Month,Crash_Month_Num,Crash_Day_Of_Week,Crash_Day_Num,Crash_Hour,Crash_Nature,Crash_Type,Crash_Latitude,Crash_Longitude,Loc_Post_Code,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Count_Unit_Car,DCA_Code,DCA_Description
158156,Medical treatment,January,1,Sunday,7,12,Rear-end,Multi-Vehicle,-27.48560346,153.174749,4154,80 - 90 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,2,04,Rear-end
158178,Medical treatment,May,5,Friday,5,9,Rear-end,Multi-Vehicle,-27.57247044,152.957896,4076,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
158241,Hospitalisation,March,3,Friday,5,10,Sideswipe,Multi-Vehicle,-27.49233546,153.124436,4153,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,05,Lane Change
158298,Hospitalisation,May,5,Monday,1,7,Angle,Multi-Vehicle,-27.28531145,153.0625711,4017,80 - 90 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,1,07,U-turn
158347,Hospitalisation,March,3,Monday,1,16,Angle,Multi-Vehicle,-27.50521146,153.177226,4154,80 - 90 km/h,Sealed - Wet,Clear,Daylight,Curved - view open,Level,2,01,Intersection: Adjacent Approach
158373,Medical treatment,March,3,Friday,5,6,Hit object,Single Vehicle,-27.63632147,153.23909,4165,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,1,19,Off Carriageway on Curve Hit Object
158398,Hospitalisation,March,3,Monday,1,7,Rear-end,Multi-Vehicle,-27.58861945,153.107739,4113,100 - 110 km/h,Sealed - Wet,Clear,Daylight,Straight,Level,2,04,Rear-end
158703,Medical treatment,January,1,Saturday,6,17,Angle,Multi-Vehicle,-27.61404247,153.236269,4165,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,2,03,Opposing Vehicles Turning
158723,Hospitalisation,January,1,Friday,5,12,Rear-end,Multi-Vehicle,-27.29964044,153.0167041,4036,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,3,04,Rear-end
158760,Minor injury,August,8,Monday,1,9,Rear-end,Multi-Vehicle,-27.52460347,153.236188,4161,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Crest,2,04,Rear-end
